3,4,5,4,4,4,4,290,291,5,3,3,4,5,3,3,3,3,3,4,5,5,5,3,4,5,5,3,4,5
3,4,5,5,5,3,4,3,3,3,3,3,3,4,3,3,4,5,3,4,5,3,3,3,4,5,3,4,5,5
3,4,5,5,5,3,4,5,3,4,5,3,4,5,3,3,4,5,3,4,3,3,3,3,4,3,3,4,5,4
3,4,5,4,5,3,4,3,3,4,5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,5,4
3,3,4,5,4,5,5,3,3,4,3,3,4,3,3,4,3,4,3,3,4,3,3,4,5,3,3,4,5,5
3,3,3,4,5,5,5,3,3,4,5,3,3,3,3,3,3,3,3,4,5,3,4,5,3,3,3,4,5,5
4,5,3,4,5,4,3,3,3,4,5,3,3,4,3,3,3,3,3,4,5,3,247,248,3,4,3,4,3,4
4,5,3,4,5,4,3,4,3,4,3,3,3,4,5,4,5,3,3,3,3,3,266,267,4,5,3,3,4,5
4,5,3,4,5,4,3,4,3,4,5,3,3,3,3,3,3,3,3,4,3,4,5,5,4,5,3,3,4,5
4,5,3,4,5,3,3,3,4,3,4,3,3,4,5,3,3,3,3,3,4,5,5,5,4,5,4,5,4,5
3,4,3,4,5,3,4,3,3,3,4,3,3,3,3,3,4,5,3,4,5,5,5,5,5,5,4,5,4,5
3,4,3,4,5,3,4,3,3,3,4,3,3,4,3,4,5,5,5,5,5,4,5,5,5,5,4,5,4,5
3,4,3,4,3,3,4,3,3,3,3,4,3,4,3,4,5,5,5,5,3,4,5,5,5,5,5,5,4,5
3,3,3,3,3,4,5,3,3,3,3,4,3,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5
3,4,3,3,3,4,5,3,3,3,3,3,4,5,5,3,3,3,4,5,4,5,5,3,4,5,5,5,4,5
3,4,5,3,4,5,5,3,3,3,3,3,3,4,5,5,31,31,31,3,4,5,5,3,4,5,5,4,5,5
3,4,5,3,4,5,5,3,3,3,3,3,3,3,4,5,31,31,31,3,4,5,3,3,4,5,5,5,5,5
3,4,3,3,4,5,5,3,3,3,3,3,3,3,4,5,31,31,31,3,4,5,3,3,4,5,5,5,4,5
3,3,3,4,3,4,5,5,3,3,3,3,3,4,5,5,5,5,5,5,4,5,3,3,3,4,5,5,4,5
3,4,5,3,3,4,5,5,5,3,4,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,3,4,5
